sentiment,Tweet
negative,@USAirways my number is 214-725-1966.  CANT WAIT...LOL #usairsucks
negative,"@USAirways membership has no privileges anymore - my son is in the army, short window to see him - NO help."
negative,@USAirways @AmericanAir Flight SF to NYC only made it to Philly. Ur customer service is telling me no refund for the last leg? #offensive
negative,@united yes was trying to upgrade my seat. Now there are no available spots
negative,"@united 3 hrs searching for flts, find 1 on site &amp; can't book the $ offered bc 1 seg isn't really available. #lies #falseadvertising"
negative,@USAirways I don't think I've ever had a us airways flight that went smoothly.
negative,@united Usually an issue with Express our of SFO. Positive note: Mainline p.s. was enjoyable.
negative,"@united my flight was already Cancelled Flightled this morning because of a ""snow storm in Denver"". And now I'm in DC waiting for a pilot to get on+"
negative,@AmericanAir #last #flight #ever on #AA. You botched this weather delay to the point of absurdity. I'd pay more to fly @Delta
negative,"@USAirways, another hour gone &amp; they sit with more snow on them! Seriously?! http://t.co/Fupf0UAyir"
negative,@SouthwestAir that's bull. Once you add a fare to the cart you should be locked in. I made it all the way to PayPal.
negative,@USAirways Credit to my bank account for the two days of work that I've missed because of these Cancelled Flightlations.
negative,"@AmericanAir By the time the 2 hrs passed before I got a call back, the ticket was more $$. It wasn't my fault yet I had to pay extra"
negative,"@united better train your support staff with appropriate decorum, consider revisiting your terrible ""provide a death certificate' policy"
negative,@JetBlue I appreciate the quick response but how can no one go outside to check temp so we can leave in BUF #currentlysittingontarmac
negative,@AmericanAir they will just say dumb things to beat around the bush ! If you're flight Cancelled Flightled be prepared for no compassion from them
negative,@united I used to be a committed #ContinentalAirlines flyer until merger. I remember now why I switched to @SouthwestAir #CommunicationFail
negative,@AmericanAir thanks for reFlight Booking Problems me on a flight and then leaving my luggage in NYC. Unbelievable.
negative,"@USAirways 6 hours, no agent. Should I keep waiting?"
negative,@SouthwestAir Customer service said it was a known problem that they were using same confirmation numbers for domestic and international
negative,@SouthwestAir Flight 2646.  Four hours in the plane on the ground at BWI.
negative,@JetBlue is the worst. I have to postpone my trip and they can't accommodate guests like @SouthwestAir #NeverAgain
negative,"@USAirways @garywerk poor excuse. I was towards front of plane, no sandwiches, we have to pay for them, should have more"
negative,"@SouthwestAir your customer service is terrible, you're terrible, thought you should know."
negative,@SouthwestAir Oops...no functioning bathrooms on a fairly full flight?  Hope everyone on 702 from New York can hold it.  Me included.
negative,@SouthwestAir Yes I know that. Also noticed you offer A list boarding after A60. So your programs are too popular.
negative,@VirginAmerica Thanks for making my flight from LAX to JFK a nightmare by forcing me to check my carry on bag at the gate. (1)
negative,"@AmericanAir You should be more timely with bags that missed a flight, people need their undies the next morning!"
negative,@SouthwestAir Logically you would think you check all that before you have people board. I could've drove home in the time I've been waiting
negative,"@SouthwestAir Flt 463 San Jose, CA -&gt; Denver, CO. Delayed 2 hrs but easily best flight + touchdown in all my years flying. Keep it up!"
negative,@JetBlue I understand why ur doing it. But for someone who just traveled 2+ hours to get here early. Relax b4 flight etc. Adv notice maybe??
negative,@SouthwestAir your gate agent re-routed an impossible itinerary and we had to find a new airline to get us home. Super bummed about this
negative,@SouthwestAir i have asked Lindsey to call me instead of DM like a schoolgirl but so far no call   Getting tired of typing little notes
negative,@AmericanAir my flight I have reserved for tomorrow has been Cancelled Flightled. Can I Cancelled Flight my reservation and get a full refund?
negative,"@united @FlyEIA yes, they said it took more than an hour!"
negative,@JetBlue shocker my flight delayed an hour. Thanks for reminding me why I switched to delta.
negative,@united rep wouldn't rebook. This is such a waste of time and poor communication
negative,@JetBlue   Phone agents can't see same flights I see online???  Can't change tickets even when I am paying. Very frustrating #jetblue
negative,@united you asked me to DM then ignore them. Please assist in changing to another flight today- 21 Feb fra to mco avoiding IAD.
negative,@united trying to check in for tomorrow's flight. website keeps timing out. what's up?
negative,@United has time to respond to everyone else's complaints but not mine. You just lost a customer
negative,@USAirways nice try at the gate making traveler after traveler put bags in the size guide because you oversold.  Sorry #minefits
negative,@USAirways any updates on flight 5202 from ORF to PHL no one at gate...  ;(
negative,@USAirways Thank you. The website crashing for me.
negative,@usairways would it kill you to let me know how many minutes I might be on hold?
negative,@SouthwestAir okaaaaay UGH IM 8 MIN AWAY
negative,@united flight attendant doesn’t understand not understanding English doesn’t mean they are deaf. Stop yelling English slowly to them.
negative,@USAirways yay for glitchy tracking system!  My bags made it to my destination and not Laguardia like the app said!
negative,@united how does that help me with my customers that I couldn't meet with (and subsequently lost)?
negative,@AmericanAir but they refused to unload our luggage so we're stuck in below freezing weather w/o our cold weather clothes.
negative,@SouthwestAir not sure I can trust a statement with that many small numbers above words. http://t.co/o3sRL1hfho
negative,"@SouthwestAir, rude customer svc, won't accommodate an earlier flight w/o $400 charge. US Mail takes priority over customers. #badservice"
negative,"@united : Unhappy with United's service?

Read Ralph Nader's open letter to UAL's CEO.

Leave a comment or RT.

http://t.co/O0745APIau"
negative,@USAirways I didn't take my original flight. I was suppose to arrive last night than by 2:00pm today. Didn't get in til 5
negative,@united I have been given a connection with 2 overnight layovers. No vouchers. Last connection not even confirmed.
negative,"@JetBlue When I got your alert, I immediately started looking to rebook. But we only had 11 minutes from reFlight Booking Problems to catch a flight to SRQ."
negative,@united it's highly unprofessional for you to overbook a flight by 12 seats &amp;feel that I should rearrange my schedule for your mismanagement
negative,"@united flight 4567 have already been Cancelled Flightled once, been trying to get home two days. Staff being very unhelpful."
negative,@AmericanAir still on hold. After you hung up on me the first time (another 45 minutes!) http://t.co/IMRLAu77iH
negative,@AmericanAir should prob give me a refund since they made me miss my flight waiting to talk to someone for 3 hours... http://t.co/4SFpcbyy9m
negative,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet
negative,@USAirways No one answers your reservation phone line. I need to book travel with a  companion certificate. How do I get through?!!!
negative,"@AmericanAir been a very long day in Philly...12:13pm flt to ORD Cancelled Flighted with NO notice, no message, no email.  NOT NICE FOR WE PLATINUMS."
negative,"@USAirways #686 is delayed due to tail winds and need to jump on #521 to SEA, leaving the same time this arrives. Is there a chance to hold?"
negative,@united on plane to Newark now. I was checked in as Rebecca Levi. My bag is under her name too.
negative,@AmericanAir robocalls me with another Cancelled Flightation. And then when I don’t accept the change it won’t let me connect to an agent. Just wow.
negative,@united More concerned that you close a club I paid alot for at 10.  Last flight 11:15p.  The construction going on is very inconvenient.
negative,"@AmericanAir The Wichita Falls Airport is the worst, will never fly in or out again.  Unknowledgeable staff."
negative,@USAirways You will be hearing a lot more from me instead of your feedback when I get back home.
negative,"@AmericanAir Thanks but don't understand why they couldn't have used the tug at the next gate over, ground crew took a break? #unacceptable"
negative,"@united I did start a claim but 8-10 weeks is unrealistic, am I really supposed to go that long with out a car seat for my child.Ridiculous!"
negative,@AmericanAir Hi AA ! I placed an itin on hold to expire on 2/27.Just logged into my acct..its gone! Seat hasn't been released to inv. Help?
negative,@USAirways and despite tailwind… Will still be Late Flight.
negative,@USAirways waiting for you to figure it out. This is unacceptable.
negative,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R
negative,@JetBlue whats going on with flight 2034.  Delayed beyond 834.  Shouldnt thre flights switch at that point?
negative,"@united when I read it say ' in some cases' can you please define this for me, when for example would it not be the case?"
negative,@JetBlue were boarding now I'm really not impressed. I've learnt a very valuable lesson .
negative,@united - my son left his tablet on plane.  Am out of country and can not call easily.  Is there an email to contact?
negative,@AmericanAir yes and the auto rebook confirmed an outbound that departs after the return flight.  # fire the software programmers
negative,"@USAirways We did. @AmericanAir said to open one with you, too."
negative,@USAirways How do I get through?
negative,@united Hate when I get bumped out of the seat I've selected (&amp; empty row) and moved to another seat (non-empty). #1K #flt803 #nonupgrade!
negative,@USAirways lost our luggage. #yay
negative,@JetBlue Why would you charge money to transfer points to someone?
negative,@united. DAY to IAD and CVG to IAD both Cancelled Flightled by United but all other airlines operating. Friend stuck and now miss intl flight. Help?
negative,"@united just give up.  Your service is terrible.  If I wasn't forced to use United on certain routes, I never would."
negative,@JetBlue never had an airline refuse to help sit parents with tiny kids. But this guy is willing to do it. #JetBlue http://t.co/MzZfGqfHu2
negative,@USAirways why let passengers on board when there was an issue? Over an hour &amp; the pilot doesn't know when we'll leave.
negative,"@USAirways been on hold for over an hour, still don't know where my bags are, won't refund me my flight?!?! It wasn't weather!!"
negative,@SouthwestAir been on hold for an hour. I need to rebook my flight that was Cancelled Flighted! #help
negative,"@USAirways 7+ hrs stranded in DCA...zero apologies and the worst customer service. Been a faithful traveler for 15+ years, but no more!"
negative,@AmericanAir she should not only get a refund but also an apology for the deplorable service.
negative,@AmericanAir maybe you should stop tweeting and start calling. Or make it available for people to wait on-hold instead of hanging up on us.
negative,"@SouthwestAir no need, I know the status, you Cancelled Flightled instead of delaying the flight."
negative,@USAirways you can send my luggage to my house👋
negative,@united A refund and flight vouchers or another flight on a different airline at your expense for today. 8 hour drive is very inconvenient
negative,"@USAirways I have LITERALLY been on hold since 3am est.PlatinumEventually hung up &amp; again back on hold. Understand weather, but ridiculous."
negative,"Nice try @AmericanAir I heard your crew whisper ""she's still at the hotel, she probably doesn't think she has to work until tomorrow"""
negative,@AmericanAir How is it possible that your call system can refuse callers for over twelve hours? What service options does that leave?
negative,"@SouthwestAir yeah, all 4 are rebooked for tomorrow AM. Hoping the 3rd time is a charm for no Cancelled Flightled flights!"
negative,@AmericanAir a school trip of 38 including myself had to sleep over in the airport and are all on different standby flights.This is not good
negative,"@united my flight was at 1 pm. Still at the airport gee what service.  Do they care, nope.  Delayed until 7:55."
negative,@USAirways just hit 4hrs.  what is typical wait time right now? should i drive 2h30m to the airport service desk?
negative,@united I was. But I have given up.
negative,@united comically on the return flight from ASE there were two United flights boarding at adjacent gates and not clear which plane to board
negative,@JetBlue JFK NYC staff is amazing. The #lax JetBlue... Sending an email with details but it was a disappointing experience @JetBlueCheeps
negative,"@united
You really know how to piss people off. Your Farelock option is fake!"
negative,@united customer service 👎
negative,@USAirways we had a friend there telling the gate attendant and the stewardess what was going on #notourfaultyoudontuseyourgatesright
negative,@usairways would it kill you to let me put my tsaprecheck number on my reservation?
negative,"@united Thanks, but not so much the missing bag as the nonexistent staff at this apparent remote outpost (busy airport for city of ~1M)."
negative,"@USAirways @ALfamilyoffour maybe if there was anyone answering the phone they would. ""Please call back Late Flightr"".For 18 hours? Not good enough"
negative,"@USAirways  If you can waive a fee at time of Cancelled Flightation, you CAN WAIVE IT AT A FUTURE DATE! #usairways #ripoff #poorcustomerservice"
negative,"@JetBlue When I arrived at the airport, I was told my ticket had been refunded because my name had a fraud alert."
negative,@USAirways quit being cheap and hire some call center employees. It shouldn't take half a day to call you
negative,"@AmericanAir flight US1562 from RIC2DFW was Cancelled Flightled yesterday &amp; I was on hold w/ cust. service from 6-10pm EST...4 hours, no answer..."
negative,"@AmericanAir bag turned up, no thanks to your useless call-centre and useless website"
negative,"@AmericanAir No, it wouldn't let me complete transaction because it was one way from Barbados to NYC"
negative,@USAirways @AmericanAir I'm a chairman who was in 1st class on both my flights today. System Cancelled Flightled my tickets and kicked me out of 1st.
negative,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable."
negative,"@united It's taken ~3 weeks for Cust Care to respond to Case #8477733, requesting a refund for wi-fi not working. Where can I get an update?"
negative,@SouthwestAir Yes. I figured an hour was a long enough time to hold before giving up. Can somebody call me?
negative,"@USAirways that the flight was delayed &amp; closed the doors only to tell us we would not be leaving for an hour and a half. Bad, bad service"
negative,"@AmericanAir Thanks. Two hours to go inflight, then hotel.  Hang in there with all the DFW travel delays AA team."
negative,@USAirways 4 hours Late Flightr And i lost my conection 😡
negative,@AmericanAir my bag is still in Miami and cannot be located?! How do you loose a bag like that? With a tag and everything?? (2)
negative,"@USAirways take a look at 1715. All F seats filled, so someone upgraded their friend instead of following rules."
negative,"@USAirways @AmericanAir I was meant to fly on Sat, you just made it Tues, I can't afford to stay in a hotel for another TWO nights!"
negative,@united Over charged me one way for baggage.find out others leaving Pittsburgh with same equipment weren't charged Just hung up on me!!
negative,@AmericanAir no other (what should be valid) Circle Pacific itineraries can be booked either - always makes all US dest. invalid 4 last leg
negative,"@united I log in, view reservations, try view specific reservation &amp; takes me back to login page,"
negative,@USAirways offloading the plane?!?!?! This is ridiculous!!!!
negative,"@united yep, after long waiting on the phone we managed to rebook it. Hope it will be a pleasent one. Thanks for ur help."
negative,@USAirways Fuck you
negative,@united No customer service rep could confirm where my bag was &amp; each gave me different info. Ruined 2 events I had today. #disappointed
negative,@JetBlue hopefully this flight Seattle to Boston 2pm will have wifi. Our first one did not and we had to entertain ourselves! #lizaapproved
negative,@USAirways thank you so much for asking us to pay $700 to switch to a different flight so I could spend more time with my dying nephew.
negative,"@USAirways once again your service leaves a lot to be desired. Flight 5141 here early, but short staffing means we wait on Tarmac...Thanks"
negative,@united 1591 had wi-fi broken on plane. Had same outage on 1618 on Friday. How can Southwest get it right on every plane but United can't?
negative,@SouthwestAir officially on hold for 2 hours!
negative,@USAirways 2 days in a row I call and still can't get anyone on the phone. Do you actually have any employees?
negative,@AmericanAir back in UK now no thanks to your staff that wouldn't me or the other passengers stranded. Just laughed at us
negative,@SouthwestAir now I can't board thanks. You guys moved me to standby. I've been holding this boarding pass since 7pm yesterday
negative,"@united I am VERY disappointed with @SilverAirways as your partner. No communication, 2 extremely Late Flight flights. Really, all around horrible."
negative,@SouthwestAir  got my bags 35 hours Late Flightr and an offer of $50 to go pick them up. Taxi costs $65 one way. Spent $200 for the inconvenience.
negative,@JetBlue I can probably find some of them. Are the ticket #s on there?
negative,@americanair Can someone contact me about my awful experience with american airlines this weekend
negative,@AmericanAir hey there me again from yesterday im still on hold
negative,@SouthwestAir good to know NOW!  Three sets of travelers in just 20 mins standing here waiting for mins to pass by.
negative,@AmericanAir. For two days now I have been trying to reach #AmericanAirlines customer service to change my flight.
negative,@united and that plane was staying overnight at the next airport - ROC. U can make up 10 min in air but instead of waiting u leave EARLY
negative,@USAirways @_RobPrice  how can he try again it will be 5-6 hours before he gets help.  Contingency plans non existent.
negative,@SouthwestAir Cancelled Flighting flights 45 minutes before takeoff &amp; sitting for 45 min on the runway of the rescheduled flight #badservice
negative,@AmericanAir When will callers from the East Coast be able to speak to an actual human for reservation support? All agents busy call Late Flightr..
negative,@united Nope - still no one helped me.  Giving up on united. #badservice
negative,@USAirways I will never fly @USAirways again
negative,@AmericanAir guys 5350 in dfw  stuck at the gate for half an hour.  Do we pull the slide or what?
negative,"@AmericanAir file loc:TJYCQH. Bag at airport since last nite.Not ""scheduled"" to get PU unt aft 8? WHY? U shld b ashamed. I'm disgusted w/u"
negative,"@JetBlue it's been 3 hours, why have you not sent the plane from the hangar for flight 1533 at JFK? This is absolutely ridiculous."
negative,"@USAirways / @AmericanAir was the worst experience I've ever had flying. Rude, delays, Cancelled Flightlations, lack of updates, and wasting our time"
negative,@united bags are still in Houston since Friday and still have not been reimbursed the baggage fee.
negative,@united this means within one week i will have filed 2 compensation complaints to your website
negative,@SouthwestAir thanks for taking such good care of my luggage... http://t.co/PIvxean3jY
negative,"@AmericanAir just Cancelled Flightled my 7 am flight tomorrow with out informing me at all today, then booked one in 2 days, and no customer service"
negative,"@USAirways 
Are you an incompetent airline every day, or just days that end in 'y'?"
negative,@USAirways churn rate increasing by the second
negative,@SouthwestAir Anyone answering phone this morning at 800IFLYSWA? On hold 51 minutes and counting...
negative,@USAirways now what? You Cancelled Flightled my flight again... Are you paying for my hotel?
negative,@JetBlue can't seem to DM you guys.. JDHADP
negative,"@SouthwestAir I did, but no one can find the bag and we need everything in it in the next two hours."
negative,@AmericanAir so you fail again flight to rdu sitting waiting on flight attendants. your logistics are not good
negative,@AmericanAir @_Lucy_May surely much better to let us all share the feedback unless you have something to hide?
negative,@united On hold 2X 60 min ea. Trying to bk a tix to Asia. Your website &amp; customer service dont want my business. Korea Air it is.
negative,@AmericanAir - Please find my bag!! In Singapore for three days already without my bag. Last known destination LAX Tag: 580815 Please help.
negative,@AmericanAir Fuck you.
negative,@AmericanAir if this is how you guys work then i will never fly with you guys again.
negative,@SouthwestAir been on hold for 20 mins to Cancelled Flight my reservation. Can you assist?
negative,@JetBlue why did I pay for extra space to be forced to put my backpack under my seat? Its my only bag. Flight 135. Unprofessional.
negative,@usairways missed flight connection due to flight attendant delay. Yet no voucher on your part? #fail
negative,"@USAirways do you operate ANY flights without maintenance issues? Flights in/out of DCA Cancelled Flighted, this is getting old. Update fleet pls!"
negative,@AmericanAir I've been doing this all night. Can someone please help? I need my flt fixed. Please???
negative,@SouthwestAir it's ok...I forgive you guys.
negative,@SouthwestAir and currently as im bringing my 3 year old to the bathroom I'm being rushed by the flight attendant.
negative,"@AmericanAir TY! But, their site says "" Please note that we do not offer a print subscription service for American Way. ..."""
negative,@USAirways. R U aware your wait time to talk to a sales agent is always 30-60 minutes? Unacceptable. At least employ a call back feature!
negative,"@SouthwestAir can't speak with customer service for 2hours, still on hold! Do you guys work?#nogood"
negative,@united Ha… you rebooked me in to an 11 hr layover &amp; are robbing me of a night with my family. Too Late Flight for that. Just fly on time for once.
negative,@USAirways 1-2! Rock hit the plane! In a delay now! Never an easy day with US Airways! Ya never fail to let me down!
negative,@united uh - I booked it through the UA website. Why the price change?
negative,@AmericanAir still waiting for a flight... I should get my money back
negative,@AmericanAir you have to run the engine to troubleshoot an issue before boarding the plane!?! How about another plane? #aa2227 #miatoiah
negative,@united I've been doing this for 15 years and I've never had this many issues with any other airline.
negative,@AmericanAir don't merge with an airline that ain't ready for prime time and book your elite flyers on it! #NotHappy @USAirways #NeedCoffee
negative,@JetBlue Well being on time is not going to happen now. Safety does come 1at. Looks like I'll have 2 look 4 another flight now #1stTimeFlyer
negative,@VirginAmerica Site down? #help
negative,@united Is it customary to upgrade a flight attendant in uniform vs passengers? One is in 1B on flt 1020 now to IAH
negative,@USAirways it's been three weeks since I was specifically told I would get a call back from your folks in AZ- should I keep being patient?
negative,@AmericanAir makes some small improvements and retains their program they win all. They keep the crappy food and change advantage they lose
negative,@united thanks! We would like an apology and a full refund. Please confirm when we will receive.
negative,@united that's why I missed my flight. If the flight had been held for 5 minutes I would have made it. I watched it pull away from the gate
negative,@united I would never fly United Airlines again!
negative,@AmericanAir why have I been on hold for almost 3 hours? This is ridiculous
negative,@USAirways stranding a student trying to get to Birmingham in CLT overnight w/o any help.  You can do better than that.  @av_duffy
negative,@USAirways Only the JFK baggage office is open to help re-book all of us on Cancelled Flightled flight 3121 to DCA. Shameful.
negative,@SouthwestAir unfortunately once the call was answered service was horrid. SWA was the role-model of finger pointing &amp; excuses #DISAPPOINTED
negative,"@united missed it.  Incoming on time, then Sat for 30, then no jetbridge driver...missed a 45min connection from an on time flight..."
negative,@united pushing five hours and my time is worth nothing to you. reFlight Booking Problems not an option unfortunately.
negative,@united How can you not know where my bags are?  You knew where they were 6 hours ago. You are killing me!  Worst service. Ever.
negative,@united too long for 140 characters
negative,"@USAirways how can I make a purchase, you take the money but I don't have a reservation...Explain"
negative,@SouthwestAir why can't i reschedule my flight online?
negative,"@SouthwestAir It seems odd to be sitting on a plane that gets further delayed and you find out by txt, not the 6 emp working on the aircraft"
negative,@united As a Million Miler I've been delayed plenty. NEVER in the amateurish way@SilverAirwsys does it. I'd be embarrassed to be affiliated.
negative,@AmericanAir still waiting for a flight... I should get my money back
negative,@JetBlue i only take jetblue to travel and i have to go to maimi next year but you guys dont go to maimi😭 why dont you guys go to maimi???
negative,@united never fails to have delayed flights 😡
negative,@USAirways Handled. I found tkt on floor dropped by someone. No way - I’m in wheelchair - to get to podium.
negative,@SouthwestAir Weather seriously cannot even be the only excuse at this point because it was awful service in the summer too. Over it.
negative,"@JetBlue continue button generated a trip to ""plan your trip page""
regardless of how far along I was in Flight Booking Problems process
hint: the end of it"
negative,@JetBlue @EllaHenderson the highlight of being delayed #freeconcert
negative,@united so you are saying that customer care does not report to anyone? Their response is humiliating for a company that serves the public.
negative,@SouthwestAir   Yes. Dale at Baggage office was wonderful. But not everyone is on the same page down there... We had a 6 hour wait!
negative,@united the least you could do is offer me a ticket in coach instead of just Cancelled Flighting my reservation because of your glitch!!! #notfair
negative,@USAirways US 728 stated their issues as: no one around to close said door. More strange. Now we're not hearing from pilot for long periods.
negative,"@AmericanAir @Delta @JetBlue can you help? @SpiritAirlines is in the wrong, stuck in Florida 3days. They need to learn from real airlines."
negative,"@USAirways and at this point I don't need sorry, I need a revers agt to pick up the call so maybe we can make the 11:30 flight today"
negative,@VirginAmerica your Avis rental continue button doesn't work on your website to book car. Tried 4 times on phone.  This sucks!
negative,"@AmericanAir once again flying AA4285, once again 60+ min delay because of mechanical issues. Perhaps you should consider maintenance?"
negative,@AmericanAir finally made it to chicago - 13 hours Late Flight.  Did get a $12 food voucher for my wait.about $1per/hr. Never again. Good bye.
negative,@AmericanAir 1 ticket agent servicing at least 60 people on line. Waiting for an hour and a half and your phones hang up on people.
negative,.@USAirways I did but the more eyes I have looking for Pandu the better chance I have of bringing him home.
negative,I feel completely cheated @united. I read your commitment to customer service via website and def did not get service suggested there.
negative,"@AmericanAir -- This is after you Cancelled Flightled our flight into Buffalo because of ""weather"" and lied to us and said other airlines Cancelled Flightled"
negative,@AmericanAir I did. Should i expect a response in this fiscal year? This calendar year? Never?
negative,@USAirways @Truthh4 they didn't give you the wifi password? Smh
negative,"@SouthwestAir worst air line ever, you have no compassion of the handicapped"
negative,"@SouthwestAir, real sincere apology! Makes my day! Glad to know flying mail is more important than me. Never flying SW again! #badservice"
negative,"@AmericanAir Checked in on app since yesterday. Confirmed upgrade &amp; carry on, got to counter &amp; manager upgraded somebody else on my seat!"
negative,"@united Funny thing happened, we arrived on our flight from Denver at the same gate we are currently scheduled to depart for Sydney at! LOL!"
negative,@UsAirways  your person taking tickets is rude and now we are delayed 4-50 minutes because you overfilled fuel on the plane #500.
negative,@AmericanAir your cabin 'thank you' message reminds people about having choices when they fly. I will be choosing another airline next time.
negative,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️
negative,@JetBlue Third straight time that my flight has been delayed flying with you guys. This will be my last trip with you.
negative,@USAirways now on hold for 75 minutes.
negative,@USAirways Sitting on the runway at phl for the last 30 min because the correct weights for the flight aren't in the system? #jobfail
negative,"@AmericanAir I am looking for help on USAirways award travel booked for wife and two boys, no seats assigned."
negative,@SouthwestAir I just sent a screen shot of the incident report.
negative,". @united 5 hours, 3 gates, and 3 planes Late Flightr still not an update, explanation, or apology to be had. #WorstAirlineEver #UnitedAirlines"
negative,@USAirways should look into better service✌️
negative,@USAirways Still on hold. 1 hour and 45 minutes and counting. Platinum? Who cares? Problems checking in? Who cares?
negative,"@JetBlue What's up with delays to and from Boston today? My sister is trying to go home, and bro-in-law trying to come to RDU. Craziness!"
negative,"@united yes, I know that. The question is ""why is that still the case""? #fail"
negative,@united Boston is all self service. Swipe yr own boarding pass at gate. Most difficult: Tag your own bag. Not easy! #ImproveTheProcess
negative,"@united Got rebooked on AA.  One question though, do you automatically refund the check baggage fees for flight that was Cancelled Flightled?"
negative,@SouthwestAir u were bae until u lost both of my bags and had no clue where they were or what happened to them for 36 hours :/
negative,@united space. Doctors' notes and everything. And on my first trip they lost my first suitcase. Among other issues- not pleased with #united
negative,"@USAirways Cancelled Flightled flight, 50 person line and one agent helping to rebook. You could've handed this one better. http://t.co/By3vDioSUA"
negative,@USAirways [Part 2 of 2] she tried calling cust serv and the system hung up and her. Twice. Are you having system issues? Please advise.
negative,"@united flight from vegas to houston Cancelled Flighted this morning ""due to operation"" what does this mean!???? Thank god I woke up early today!"
negative,"@SouthwestAir like kelsey said, really bad spot for locals. Do you know how long it takes to find parking then walking over to the bellagio?"
negative,@AmericanAir Trying to rebook a flight with you because of Cancelled Flightlation is a nightmare.  I was hung up on once. Can you help me rebook?
negative,"@united any way you can help me find a flight to LAS? Stuck in DIA, sat on plane 2 hrs, now been waiting an hour for an update."
negative,@USAirways never flying you guys again. your customer service is awful
negative,@SouthwestAir there is a good chance myself nor anyone else in this airport will ever be Flight Booking Problems southwest again..
negative,@united yea they been booked on 10 next avalible flights since sat 7am. And when time comes no plane 2nd day of work missed #hotelliving
negative,@united WHERE IS MY FUCKING BAG?!?! Where the fuck is my fucking bag??? TELL ME NOW OR GIVE ME A NUMBER TO CALL A HUMAN. SAN68059M
negative,@USAirways F623 DEN:PHX. Serious display of poor customer service exhibited by flight crew today.   #newamericanairline #cheapslogannotmotto
negative,"@AmericanAir no I've since rebooked with another airline, what I would like is compensation for all the time/money lost!"
negative,"@USAirways I fly quite a bit, and it's not difficult to communicate. If agents let people know what's happening, arrangements can be made"
negative,"@USAirways: I relied on US Airways, and that was my mistake. Awful customer experience."
negative,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.
negative,@JetBlue we've been delayed and delayed here in Palm beach... Need to head to Westchester. Can you give me some info?
negative,@USAirways I waited on hold for too long. I shouldn't have to wait on hold forever when I never received a confirm. in the 1st place #help
negative,@SouthwestAir and thx for not responding
negative,"@VirginAmerica As one of the travelers affected by the Boston storm, I'm shocked at Virgin's complete apathy toward their customers."
negative,@USAirways @AmericanAir what a joke of a company today reminded me why I never book with you
negative,@SouthwestAir Tough I can take. Zero meaningful assistance while stranded for 2 days is another matter. Looking for signs you care abt cust.
negative,"@AmericanAir &amp; if that wasn't enough, your staff have been so rude &amp; ignored passengers,don't think that should be accepted whatever reason"
negative,@USAirways I have been on hold for over one hour waiting to reschedule a flight. How much longer should I expect?
negative,"@JetBlue Are you having any issues with online check-in? My colleague and I are getting ""Webpage not available"" after submitting online form"
negative,@USAirways why is it impossible to change / buy preferred seats via your app?
